fiscal_year,department,course_number,course_name,a_plus,a,a_minus,b_plus,b,b_minus,c_plus,c,c_minus,d,p_plus,p,f,w,wf,i,gpa_count,non_gpa_count,unknown_count,total_count,source_sheet,source_row,notes,unlabeled_18
2022,Computer Science,CS100,Computer Science Inquiry,0,79,38,22,28,12,4,8,6,5,0,0,0,3,0,0,202,3,0,205,FY22,3,,
2022,Computer Science,CS205,Object Oriented Programming,0,41,13,8,4,5,2,4,2,0,0,1,0,0,0,0,79,1,0,80,FY22,4,,
2022,Computer Science,CS235,Web Technologies,0,4,7,3,7,2,1,1,1,0,0,0,0,0,0,0,26,0,0,26,FY22,5,,
2022,Computer Science,CS305,Advanced Programming,0,3,13,3,8,1,2,0,0,0,0,0,0,0,2,0,30,2,0,32,FY22,6,,
2022,Computer Science,CS421,CS Seminar: Android Apps Development,0,2,5,2,2,1,1,0,0,0,0,0,0,0,0,0,13,0,0,13,FY22,7,,
2022,Computer Science,CS422,CS Seminar: UNIX/Linux and Cybersecurity,0,1,7,4,4,0,0,1,1,0,0,0,0,0,0,0,18,0,0,18,FY22,8,,
2022,Computer Science,CS431,CS Seminar: Machine Learning,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,FY22,9,,
2022,Computer Science,CS801,Independent Study in Computer Science,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,FY22,10,,
2022,Computer Science,CS802,Independent Study in Computer Science,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,FY22,11,,
2022,Mathematics,MAT101,Geometry I/II,0,4,2,4,5,2,2,4,0,0,0,0,0,0,0,0,23,0,0,23,FY22,12,,
2022,Mathematics,MAT110,Mathematical Investigations I/II,0,0,9,8,16,11,6,12,7,9,0,0,0,1,0,0,78,1,0,79,FY22,13,,
2022,Mathematics,MAT121,Mathematical Investigations II,0,18,15,18,14,6,3,3,4,8,0,0,0,1,0,0,89,1,0,90,FY22,14,,
2022,Mathematics,MAT122,Mathematical Investigations II,0,7,2,1,4,3,1,3,0,0,0,0,0,0,0,0,21,0,0,21,FY22,15,,
2022,Mathematics,MAT131,Mathematical Investigations III,0,21,11,8,10,4,8,10,6,7,0,0,0,1,0,0,85,1,0,86,FY22,16,,
2022,Mathematics,MAT132,Mathematical Investigations III,0,13,7,13,11,4,7,13,5,9,0,0,0,3,0,0,82,3,0,85,FY22,17,,
2022,Mathematics,MAT141,Mathematical Investigations IV,0,50,20,11,25,2,9,9,3,2,0,0,0,1,0,0,131,1,3,135,FY22,18,Includes counts in an unlabeled workbook column; excluded from GPA charts.,3
2022,Mathematics,MAT142,Mathematical Investigations IV,0,17,11,6,7,4,8,10,5,1,0,0,0,2,0,0,69,2,0,71,FY22,19,,
2022,Mathematics,MAT211,AB Calculus I,0,6,3,3,7,6,2,0,0,0,0,0,0,0,0,0,27,0,0,27,FY22,20,,
2022,Mathematics,MAT222,AB Calculus II,0,3,4,5,8,3,4,2,0,0,0,0,0,0,0,0,29,0,0,29,FY22,21,,
2022,Mathematics,MAT311,BC Calculus I,0,15,7,4,6,3,3,5,3,3,0,0,0,0,0,0,49,0,0,49,FY22,22,,
